dateTime,Temperature,Humidity,Dew.Point,Wind.Speed,T.MIN-02,T.MIN-03,T.MIN-07,T.MIN-09,T.MIN-10,T.Mintaro_at_met_station,T.MIN-05,T.MIN-08
2017/8/3 10:00,12.45,64.4,5.9,0,16.1394,14.3517,14.6359,16.1254,15.8486,19.8002,14.8674,16.4721
2017/8/3 11:00,9.774,82.3,6.9,6.7,7.865,7.7631,7.8647,7.6533,7.7638,8.4046,7.8467,7.701
2017/8/3 12:00,7.462,93.5,6.5,4.8,8.3042,8.4539,8.4294,8.5957,8.6419,8.2166,-41.3358,8.5788
2017/8/3 13:00,7.647,94.4,6.8,5.6,8.1159,8.0771,7.9902,7.9675,7.8892,7.8405,-41.3358,8.0145
2017/8/3 14:00,8.166,90.8,6.8,2,9.5587,9.6468,9.6212,9.7261,9.5825,9.3446,-41.3358,9.7698
2017/8/3 15:00,8.815,87.5,6.8,5.6,9.935,10.0862,9.9348,9.8517,10.0841,9.9085,-41.3358,10.0205
2017/8/3 16:00,8.584,89.9,7,9.1,9.1197,9.019,9.4331,9.3493,9.3317,9.1566,86.6611,9.3311
2017/8/3 17:00,7.6,96.9,7.1,10.7,7.6767,7.7003,7.802,7.5905,7.7011,7.6525,86.6611,7.5129
2017/8/3 18:00,7.433,98.4,7.2,6.7,7.4885,7.4491,7.4882,7.402,7.5129,7.3391,-41.3358,7.3248
2017/8/3 19:00,6.646,97.5,6.3,5.6,6.2961,6.2555,6.2331,6.208,6.1954,6.2735,86.6611,6.196
2017/8/3 20:00,6.933,96.6,6.4,6.3,6.861,6.9466,6.8607,6.7736,6.6973,6.9003,49.5038,6.7604
2017/8/3 21:00,6.71,94.4,5.9,6.3,5.8567,5.8785,5.7309,5.6422,5.5051,5.8973,86.6611,5.8824
2017/8/3 22:00,6.149,95.7,5.5,4.8,5.4801,5.6272,5.2287,5.1393,4.752,5.5211,66.5713,5.3806
2017/8/3 23:00,4.67,99.6,4.6,0,4.036,4.5587,4.0985,3.5671,3.057,4.0162,75.9163,4.5023
2017/8/4 0:00,5.906,100,5.9,1.2,5.4173,5.0615,5.5426,5.1393,4.8148,5.4584,43.4064,5.0669
2017/8/4 1:00,4.514,98.7,4.3,0,3.3452,3.6157,2.8424,2.4348,2.4291,3.0754,58.697,2.4942
2017/8/4 2:00,4.735,100,4.7,7.5,4.2872,4.4958,4.4125,4.3847,4.5009,4.5179,39.7317,4.4395
2017/8/4 3:00,4.106,100,4.1,2.8,3.9732,4.1815,3.5333,3.5671,3.5593,3.4517,44.5892,3.4983
2017/8/4 4:00,4.964,100,5,3.6,5.2917,5.3129,5.1659,5.0135,5.0031,5.2703,39.0462,5.1296
2017/8/4 5:00,5.778,100,5.8,2.8,6.045,6.1299,6.1075,6.0823,6.0699,6.0854,75.1125,6.0705
2017/8/4 6:00,6.143,100,6.1,2.4,6.2333,6.2555,6.3586,6.2708,6.3209,6.2108,41.7251,6.3214
2017/8/4 7:00,5.361,99.6,5.3,2.8,4.7895,4.873,4.7892,4.6992,4.752,4.5806,17.0592,4.7532
2017/8/4 8:00,5.432,100,5.4,0,5.5429,5.5643,5.6054,5.5165,5.5051,5.5838,41.04,5.506
2017/8/4 9:00,7.329,99.6,7.3,8.7,7.4257,7.4491,7.551,7.402,7.3874,7.4645,25.3789,7.3875
